variant,space,outlier_cont,alg,k,n_core,sil,dbi,ch,ARI_vs_quality,NMI_vs_quality,AMI_vs_quality,stab_seed_ARI,stab_subsample_ARI,min_cluster_size
all,RAW,0.1,ward,2,345,0.26096426008310153,1.504358986231383,123.72270892557906,0.09434542922610635,0.05091504073936659,0.0468951932636356,,,124
all,RAW,0.1,ward,3,345,0.2105328931639282,1.916101070502232,83.32666084842242,0.09401741436229358,0.0600132669075448,0.05349927243323357,,,51
all,RAW,0.1,ward,4,345,0.19930106865370914,1.807769888128089,66.4467113576678,0.11004109238353149,0.07079143824950984,0.06155766085087665,,,15
all,RAW,0.1,ward,5,345,0.16564023239783718,1.8866400620938595,58.35981899157951,0.04380229300412472,0.07702592850606373,0.06625232143367094,,,15
all,RAW,0.1,ward,6,345,0.13246460041435462,2.1110435076299865,52.19295284640191,0.05362635140878938,0.07440160056688645,0.06190348846670604,,,15
all,RAW,0.1,ward,7,345,0.1372652522572453,2.0847750217914185,47.875159927547465,0.057407977062779274,0.07537946154939494,0.06082685851174746,,,15
all,RAW,0.1,ward,8,345,0.11144328915380991,2.0482623542615563,44.501961560681735,0.04823625760366588,0.07289217159879662,0.05697210695724132,,,15
all,RAW,0.1,ward,9,345,0.10841324824286985,2.0257713272184525,41.85707746250565,0.05135717627669802,0.07638634551261721,0.059103766183532,,,15
all,RAW,0.1,ward,10,345,0.11729311837957745,1.9379354960784483,39.87715812202623,0.04035862095224718,0.07749859165786652,0.05847715564367729,,,15
all,PCA,0.0,kmeans,2,384,0.27177214385569254,1.5126655013770447,138.68719264888475,0.07038890147137006,0.042938073997146685,0.0393704980575824,0.9968398634615665,0.9901471475231587,156
all,PCA,0.0,kmeans,3,384,0.16830099560058484,2.1248942347552053,90.44882137250934,0.03739410021322771,0.03709893524152268,0.0314494593023178,0.6164887222948555,0.5837413695485824,97
all,PCA,0.0,kmeans,4,384,0.1410770971626483,2.1818803367629602,74.40334850676992,0.04276935862880218,0.03161042443997143,0.023830510861179294,0.5226526167963279,0.48354727194611835,68
all,PCA,0.0,kmeans,5,384,0.14309753922252588,2.083317022671823,66.24457057824701,0.06353045806404493,0.05176820173337017,0.04245633697986549,0.4446589053114894,0.4176355105529798,49
all,PCA,0.0,kmeans,6,384,0.1433498328578957,1.9444377660984873,59.088339231238244,0.08628883105796677,0.06937769742016783,0.0583381995734399,0.4669967603878721,0.45320116903216906,33
all,PCA,0.0,kmeans,7,384,0.13051197113790078,1.912764573309784,55.666375074282904,0.05216264333260407,0.07016874618450936,0.05768922192452055,0.4383080181839362,0.44746954646426285,24
all,PCA,0.0,kmeans,8,384,0.14424426333193904,1.880201430342036,50.17150462944133,0.07671809062128321,0.0632286111602727,0.048771037527199274,0.4568624456052697,0.4327552091776813,23
all,PCA,0.0,kmeans,9,384,0.13127378120322522,1.8680094419628617,48.173120294062755,0.06355908840651807,0.05097373051409884,0.03471964373785956,0.43889120684487015,0.42297722304304763,17
